ClusterID	Elements	Std.Dev.	LC08_L2SP_014032_20210623_20210630_02_T1_QA_RADSAT	LC08_L2SP_014032_20210623_20210630_02_T1_SR_B2	LC08_L2SP_014032_20210623_20210630_02_T1_SR_B3	LC08_L2SP_014032_20210623_20210630_02_T1_SR_B4	LC08_L2SP_014032_20210623_20210630_02_T1_SR_B1	LC08_L2SP_014032_20210623_20210630_02_T1_SR_B5	LC08_L2SP_014032_20210623_20210630_02_T1_SR_QA_AEROSOL	LC08_L2SP_014032_20210623_20210630_02_T1_SR_B6
0	5773244	2257.193911	0.000105	8288.583036	9428.527287	8529.451987	8200.668509	25041.744093	103.835318	14736.477720
1	3426170	2392.617418	0.000182	9616.567083	10580.268070	10784.627566	9260.549103	15150.166440	111.772799	13795.037854
2	6730446	1903.563295	0.000050	8179.033096	8971.976168	8596.273797	8046.768360	17135.825724	100.407738	12250.053642
3	6235036	2740.754470	0.000010	9370.278060	9790.411522	9554.528002	9095.959460	10133.818723	108.268076	9595.729785
4	409629	8703.896750	0.196658	33362.368760	33092.682662	33836.170977	32952.759155	36482.473467	217.419406	30923.878695
5	718699	5441.228786	0.018034	15750.418375	17373.096504	17623.423602	15045.506469	24852.505289	161.737860	21281.186143
6	5082363	2075.965408	0.000132	8854.139859	10061.550423	9776.124260	8592.568571	19666.573264	106.246587	15147.499543
7	622859	6068.878095	0.043670	23779.109254	24345.738800	24753.289295	23240.635951	29744.176529	160.700919	26153.625917
8	10025210	1472.600938	0.000000	8059.991017	8920.740672	8242.933816	7997.282510	21449.614397	95.555004	13215.962742
9	1565941	4184.640737	0.003465	11061.454919	12645.030228	13147.980928	10463.115675	18775.588665	129.040415	17731.952196
